iter	Passed	Remaining
0	0	39
1	0	37
2	1	36
3	1	32
4	1	33
5	2	33
6	2	32
7	2	33
8	3	33
9	3	32
10	4	33
11	4	32
12	4	31
13	5	31
14	5	31
15	5	30
16	6	29
17	6	29
18	6	29
19	7	29
20	7	28
21	7	28
22	8	27
23	8	27
24	9	27
25	9	27
26	9	26
27	10	26
28	10	25
29	10	25
30	11	25
31	11	24
32	12	24
33	12	24
34	12	24
35	13	23
36	13	23
37	13	22
38	14	22
39	14	22
40	15	21
41	15	21
42	15	20
43	15	20
44	16	19
45	16	19
46	17	19
47	17	18
48	17	18
49	18	18
50	18	17
51	18	17
52	19	17
53	19	16
54	20	16
55	20	16
56	20	15
57	21	15
58	21	15
59	22	14
60	22	14
61	23	14
62	23	13
63	23	13
64	24	13
65	24	12
66	24	12
67	25	11
68	25	11
69	26	11
70	26	10
71	26	10
72	27	10
73	27	9
74	28	9
75	28	9
76	29	8
77	29	8
78	29	7
79	30	7
80	31	7
81	31	6
82	32	6
83	32	6
84	32	5
85	33	5
86	33	5
87	33	4
88	34	4
89	34	3
90	35	3
91	35	3
92	35	2
93	36	2
94	36	1
95	37	1
96	37	1
97	37	0
98	38	0
99	38	0
