iter	Passed	Remaining
0	58	57943
1	58	29163
2	58	19561
3	59	14770
4	59	11883
5	60	9944
6	60	8594
7	61	7574
8	61	6777
9	61	6134
10	62	5610
11	62	5173
12	63	4806
13	63	4501
14	64	4233
15	64	3992
16	65	3782
17	65	3593
18	66	3421
19	66	3264
20	67	3125
21	67	2997
22	67	2878
23	68	2771
24	68	2673
25	69	2587
26	69	2506
27	70	2431
28	70	2360
29	71	2296
30	71	2232
31	71	2172
32	72	2114
33	72	2061
34	73	2014
35	73	1968
36	73	1924
37	74	1881
38	74	1844
39	75	1807
40	75	1772
41	76	1737
42	76	1706
43	77	1675
44	77	1645
45	77	1616
46	78	1588
47	78	1563
48	79	1537
49	79	1513
50	80	1490
51	80	1466
52	80	1442
53	81	1421
54	81	1401
55	81	1382
56	82	1364
57	82	1345
58	83	1328
59	83	1312
60	84	1294
61	84	1280
62	85	1264
63	85	1248
64	85	1235
65	86	1221
66	86	1207
67	87	1194
68	87	1182
69	88	1170
70	88	1158
71	88	1145
72	89	1134
73	89	1122
74	90	1110
75	90	1098
76	90	1087
77	91	1077
78	91	1067
79	92	1059
80	92	1050
81	92	1040
82	93	1028
83	93	1019
84	94	1012
85	94	1004
86	94	996
87	95	988
88	95	980
89	96	973
90	96	966
91	97	959
92	97	951
93	98	944
94	98	938
95	98	932
96	99	925
97	99	919
98	100	912
99	100	906
100	101	899
101	101	893
102	101	886
103	102	881
104	102	876
105	103	869
106	103	864
107	103	858
108	104	853
109	104	847
110	105	842
111	105	837
112	105	831
113	106	826
114	106	821
115	107	816
116	107	810
117	107	806
118	108	801
119	108	796
120	108	791
121	109	785
122	109	781
123	110	777
124	110	773
125	110	768
126	111	763
127	111	759
128	111	755
129	112	751
130	112	747
131	113	744
132	113	741
133	114	738
134	114	735
135	115	731
136	115	728
137	116	725
138	116	721
139	116	718
140	117	714
141	117	710
142	117	707
143	118	704
144	118	701
145	119	697
146	119	695
147	120	692
148	120	689
149	121	686
150	121	684
151	122	681
152	122	679
153	123	676
154	123	673
155	124	671
156	124	668
157	124	665
158	125	663
159	125	660
160	126	656
161	126	654
162	126	651
163	127	649
164	127	647
165	128	645
166	129	645
167	130	644
168	130	641
169	130	638
170	131	635
171	131	632
172	131	630
173	132	628
174	132	625
175	133	623
176	133	621
177	134	619
178	134	617
179	135	615
180	135	613
181	135	611
182	136	609
183	136	606
184	137	604
185	137	601
186	137	599
187	138	596
188	138	594
189	138	592
190	139	590
191	139	588
192	140	586
193	140	584
194	141	582
195	141	581
196	142	579
197	142	576
198	142	575
199	143	573
200	143	572
201	144	570
202	144	568
203	145	567
204	145	566
205	146	563
206	146	561
207	147	560
208	147	558
209	148	557
210	148	555
211	149	554
212	149	552
213	150	551
214	150	549
215	151	548
216	151	546
217	151	544
218	152	543
219	152	542
220	153	540
221	153	538
222	154	537
223	154	535
224	155	534
225	155	532
226	156	531
227	156	529
228	156	528
229	157	527
230	157	525
231	158	524
232	158	522
233	159	521
234	159	519
235	159	517
236	160	516
237	160	515
238	161	513
239	161	512
240	162	510
241	162	509
242	162	507
243	163	506
244	164	505
245	164	504
246	165	503
247	165	501
248	165	500
249	166	498
250	166	497
251	167	496
252	167	495
253	168	493
254	168	492
255	169	491
256	170	493
257	171	491
258	171	490
259	172	489
260	172	488
261	172	486
262	173	485
263	173	484
264	173	482
265	174	481
266	174	480
267	175	478
268	175	477
269	175	475
270	176	474
271	177	473
272	177	472
273	177	471
274	178	470
275	179	470
276	179	469
277	180	467
278	180	466
279	180	465
280	181	463
281	181	462
282	181	461
283	182	459
284	182	458
285	183	457
286	183	455
287	183	454
288	184	453
289	184	452
290	185	451
291	186	451
292	186	450
293	186	448
294	187	447
295	187	446
296	188	445
297	188	444
298	189	443
299	189	442
300	189	440
301	190	439
302	190	438
303	191	437
304	191	436
305	191	435
306	192	433
307	192	432
308	192	431
309	193	430
310	193	429
311	194	428
312	194	426
313	194	425
314	195	424
315	195	423
316	196	422
317	196	421
318	196	420
319	197	419
320	197	418
321	198	417
322	198	415
323	198	414
324	199	414
325	199	413
326	200	412
327	200	410
328	200	409
329	201	408
330	201	407
331	201	406
332	202	405
333	202	404
334	203	403
335	203	402
336	204	401
337	204	400
338	204	399
339	205	398
340	205	397
341	205	396
342	206	394
343	206	393
344	206	392
345	207	391
346	207	391
347	208	390
348	208	389
349	208	388
350	209	387
351	209	386
352	210	385
353	210	384
354	210	383
355	211	382
356	211	381
357	211	380
358	212	379
359	212	378
360	213	377
361	213	376
362	214	375
363	214	374
364	214	373
365	215	372
366	215	372
367	216	371
368	216	370
369	216	369
370	217	368
371	217	367
372	218	366
373	218	365
374	218	364
375	219	363
376	219	363
377	220	362
378	220	361
379	220	360
380	221	359
381	221	358
382	222	357
383	222	357
384	222	356
385	223	355
386	223	354
387	224	353
388	224	352
389	225	352
390	225	351
391	225	350
392	226	349
393	226	348
394	227	347
395	227	346
396	227	346
397	228	345
398	228	344
399	229	343
400	229	343
401	230	342
402	230	341
403	230	340
404	231	339
405	231	338
406	232	338
407	232	337
408	232	336
409	233	335
410	233	335
411	234	334
412	234	333
413	235	332
414	235	331
415	235	331
416	236	330
417	236	329
418	237	328
419	237	327
420	237	327
421	238	326
422	238	325
423	238	324
424	239	323
425	239	322
426	240	322
427	240	321
428	240	320
429	241	319
430	241	319
431	242	318
432	242	317
433	242	316
434	243	315
435	243	315
436	243	314
437	244	313
438	244	312
439	244	311
440	245	310
441	245	310
442	246	309
443	246	308
444	246	307
445	247	307
446	247	306
447	247	305
448	248	304
449	248	303
450	248	303
451	249	302
452	249	301
453	250	300
454	250	299
455	250	299
456	251	298
457	251	297
458	252	297
459	252	296
460	252	295
461	253	294
462	253	294
463	253	293
464	254	292
465	254	291
466	255	291
467	255	290
468	256	289
469	256	289
470	256	288
471	257	287
472	257	287
473	257	286
474	258	285
475	258	284
476	259	284
477	259	283
478	259	282
479	260	282
480	260	281
481	261	280
482	261	279
483	261	279
484	262	278
485	262	277
486	263	277
487	263	276
488	263	275
489	264	275
490	264	274
491	265	273
492	265	273
493	265	272
494	266	271
495	266	270
496	266	270
497	267	269
498	267	268
499	268	268
500	268	267
501	268	266
502	269	266
503	269	265
504	270	264
505	270	263
506	270	263
507	271	262
508	271	261
509	271	261
510	272	260
511	272	259
512	273	259
513	273	258
514	273	257
515	274	257
516	274	256
517	275	255
518	275	255
519	275	254
520	276	253
521	276	253
522	277	252
523	277	252
524	277	251
525	278	250
526	278	250
527	278	249
528	279	248
529	279	248
530	280	247
531	280	246
532	280	246
533	281	245
534	281	244
535	282	244
536	282	243
537	282	242
538	283	242
539	283	241
540	283	240
541	284	240
542	284	239
543	285	239
544	285	238
545	285	237
546	286	237
547	286	236
548	286	235
549	287	235
550	287	234
551	288	233
552	288	233
553	288	232
554	289	232
555	289	231
556	290	230
557	290	230
558	290	229
559	291	228
560	291	228
561	291	227
562	292	226
563	292	226
564	293	225
565	293	225
566	293	224
567	294	223
568	294	223
569	295	222
570	295	222
571	296	221
572	296	220
573	296	220
574	297	219
575	297	219
576	297	218
577	298	217
578	298	217
579	299	216
580	299	216
581	300	215
582	300	214
583	300	214
584	301	213
585	301	213
586	302	212
587	302	212
588	303	211
589	303	210
590	303	210
591	304	209
592	304	209
593	304	208
594	305	207
595	305	207
596	306	206
597	306	205
598	306	205
599	307	204
600	307	204
601	307	203
602	308	202
603	308	202
604	309	201
605	309	201
606	309	200
607	310	200
608	310	199
609	310	198
610	311	198
611	311	197
612	312	197
613	312	196
614	313	195
615	313	195
616	313	194
617	314	194
618	314	193
619	314	193
620	315	192
621	315	191
622	316	191
623	316	190
624	316	190
625	317	189
626	317	189
627	318	188
628	318	187
629	319	187
630	319	186
631	319	186
632	320	185
633	320	185
634	321	184
635	321	183
636	321	183
637	322	182
638	322	182
639	322	181
640	323	181
641	323	180
642	324	179
643	324	179
644	324	178
645	325	178
646	325	177
647	326	177
648	326	176
649	327	176
650	327	175
651	328	175
652	328	174
653	328	173
654	329	173
655	330	173
656	330	172
657	331	172
658	331	171
659	331	170
660	332	170
661	332	169
662	332	169
663	333	168
664	333	168
665	334	167
666	334	167
667	334	166
668	335	165
669	335	165
670	336	164
671	336	164
672	336	163
673	337	163
674	337	162
675	337	161
676	338	161
677	338	160
678	339	160
679	339	159
680	339	159
681	340	158
682	340	158
683	341	157
684	341	157
685	341	156
686	342	155
687	342	155
688	343	154
689	343	154
690	343	153
691	344	153
692	344	152
693	345	152
694	346	151
695	346	151
696	346	150
697	347	150
698	347	149
699	348	149
700	348	148
701	348	148
702	349	147
703	349	147
704	350	146
705	350	145
706	350	145
707	351	144
708	352	144
709	352	144
710	353	143
711	353	142
712	353	142
713	354	141
714	354	141
715	355	140
716	355	140
717	355	139
718	356	139
719	356	138
720	356	138
721	357	137
722	357	137
723	358	136
724	358	136
725	359	135
726	359	134
727	359	134
728	360	133
729	360	133
730	360	132
731	361	132
732	361	131
733	362	131
734	362	130
735	363	130
736	363	129
737	363	129
738	364	128
739	364	128
740	364	127
741	365	126
742	365	126
743	365	125
744	366	125
745	366	124
746	367	124
747	367	123
748	367	123
749	368	122
750	368	122
751	369	121
752	369	121
753	369	120
754	370	120
755	370	119
756	371	119
757	371	118
758	371	118
759	372	117
760	372	117
761	372	116
762	373	115
763	373	115
764	373	114
765	374	114
766	374	113
767	375	113
768	375	112
769	375	112
770	376	111
771	376	111
772	377	110
773	377	110
774	377	109
775	378	109
776	378	108
